"Sample.number","Plate.number","ID","Dung.batch","Batch","Pop","NC","Temp","Date.Hatching","Date.First.Transfer","Date.3rd.Ins","Mass.3rd.Ins","Date.PP","Sex","Date.Pupa","Days.to.Pupa","Mass.Pupa","Day.Adult","Adult.Body.Size","Day.Dead","Exclude.date.3rd","Exclude.Mass.3rd","Exclude.Mass.pupa","Exclude.adult","Exclude.death","Exclude.all","Notes"
"1","2","C+W01",1,1,"W. Australia","+","Constant","2017-06-01","2017-06-02","2017-06-12",0.0849,"2017-06-30","Male","2017-07-02",20,0.0515,"2017-07-12",3.646,NA,"Yes","Yes","Yes","Yes","Yes","Yes","L2 on 6/4"
"2","2","C+W02",1,1,"W. Australia","+","Constant","2017-06-01","2017-06-02","2017-06-10",0.1032,"2017-06-30","Male","2017-07-02",22,0.0764,"2017-07-12",4.275,NA,"Yes","Yes","Yes","Yes","Yes","Yes","L2 on 6/4"
"3","2","C+W03",1,1,"W. Australia","+","Constant","2017-06-01","2017-06-02","2017-06-14",0.0865,"2017-07-02","Male","2017-07-04",20,0.0384,"2017-07-14",3.336,NA,"Yes","Yes","Yes","Yes","Yes","Yes","L2 on 6/6"
"4","1;9;17;23","C-W01",1,1,"W. Australia","-","Constant","2017-06-01","2017-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-06-14","No","No","No","No","No","No","Dead 6/14"
"5","1;9;17;23","C-W02",1,1,"W. Australia","-","Constant","2017-06-01","2017-06-02","2017-06-12",NA,NA,NA,NA,NA,NA,NA,NA,"2017-06-12","Yes","Yes","Yes","Yes","Yes","Yes","L2 on 6/6, dead 6/12 ""not enough room to move"""
"6","1;9;17;23;34;39;48;52;58;64;71;78;85;92","C-W03",1,1,"W. Australia","-","Constant","2017-06-01","2017-06-02","2017-06-10",0.0464,"2017-07-03","Male","2017-07-04",24,0.0396,NA,NA,"2017-07-04","No","No","No","No","No","No","L2 on 6/4, (dead 6/14 but alive 6/16?), L3 on 6/10 according to Daniel, dead 7/4 (did not fully exit of last larval molt)"
"7","3;10;19;25;30;35;41;46","F-W01",1,1,"W. Australia","-","Fluctuating","2017-06-01","2017-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-06-16","No","No","No","No","No","No","L2 on 6/8, dying 6/14?, dead 6/16"
"8","3;10;19;25;30;35;41;46;53;59;66;72;80;86;93;99;103","F-W02",1,1,"W. Australia","-","Fluctuating","2017-06-01","2017-06-02","2017-06-10",0.0513,"2017-06-07","Male","2017-07-08",28,0.0241,NA,NA,"2017-07-12","No","No","No","No","No","No","L2 on 6/4, weighed early on 6/20?, Daniel thought l3 on 6/10, I thought 14, failed pupa, dead 7/12"
"9","3;10;19;25;30;35;41;46;53;59;6672;80;86","F-W03",1,1,"W. Australia","-","Fluctuating","2017-06-01","2017-06-02","2017-06-10",0.0866,NA,NA,NA,NA,NA,NA,NA,"2017-07-04","No","No","No","No","No","No","L2 on 6/8, weighed early on 6/20?, Daniel thought l3 on 6/10 I thought 14, dead 7/4"
"10","4","F+N01",1,1,"N. Carolina","+","Fluctuating","2017-06-01","2017-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-06-12","Yes","Yes","Yes","Yes","Yes","Yes","L2 on 6/6, dead 6/12"
"11","4","F+W01",1,1,"W. Australia","+","Fluctuating","2017-06-01","2017-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-06-04","Yes","Yes","Yes","Yes","Yes","Yes","Dead on 6/4"
"12","4","F+W02",1,1,"W. Australia","+","Fluctuating","2017-06-01","2017-06-02","2017-06-20",NA,NA,NA,NA,NA,NA,NA,NA,"2017-06-22","Yes","Yes","Yes","Yes","Yes","Yes","L2 on 6/6, dead on 6/22"
"13","4","F+W03",1,1,"W. Australia","+","Fluctuating","2017-06-01","2017-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-06-08","Yes","Yes","Yes","Yes","Yes","Yes","L2 on 6/6, dead on 6/8"
"14","5;14;21;26;27;31;45;50;55;64;70;75;84;89;94;100;105;111;117","C-W04",1,1,"W. Australia","-","Constant","2017-06-02","2017-06-03","2017-06-15",0.0668,"2017-07-11","Female","2017-07-13",28,0.0408,"2017-07-21",3.416,NA,"No","No","No","No","No","No","L2 on 6/5, was labelled W09 at some point"
"15","5;14;21;26;27;31;45;50;55;64;70;75;84;89;96","C-W05",1,1,"W. Australia","-","Constant","2017-06-02","2017-06-03","2017-06-15",0.0875,"2017-07-03","Male","2017-07-05",20,0.0644,"2017-07-15",4.011,NA,"No","No","No","No","No","No","L2 on 6/9, was labelled W-03 on 6/11"
"16","5;14;21;26;27;31","C-W06",1,1,"W. Australia","-","Constant","2017-06-02","2017-06-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-06-11","No","No","No","No","No","No","dead 6/11?"
